"Codigo";"UF";"Municipio";"Adequado_2000";"Adequado_2010";"Semi_2000";"Semi_2010";"Inadequado_2000";"Inadequado_2010";"Classe"
4302253;"RS";"Boa Vista do Sul";11,6;2,3;77,18;93,11;11,22;4,59;"Até 5 mil"
2201804;"PI";"Bocaina";15,4;20,25;52,15;73,54;32,44;6,22;"Até 5 mil"
4202438;"SC";"Bocaina do Sul";9,69;2,59;44,29;62;46,01;35,41;"Até 5 mil"
2401651;"RN";"Bodó";NA;29,93;51,34;49,21;48,66;20,86;"Até 5 mil"
4202503;"SC";"Bom Jardim da Serra";36,18;25,97;28,27;48,82;35,55;25,21;"Até 5 mil"
2502201;"PB";"Bom Jesus";0,2;0,57;61,25;71,1;38,55;28,33;"Até 5 mil"
4202537;"SC";"Bom Jesus";4,84;55,09;59,59;21,02;35,57;23,89;"Até 5 mil"
3107604;"MG";"Bom Jesus da Penha";61,9;70,63;6,91;17,77;31,19;11,6;"Até 5 mil"
4202578;"SC";"Bom Jesus do Oeste";2,44;15,2;34,21;68,7;63,35;16,1;"Até 5 mil"
4103156;"PR";"Bom Jesus do Sul";3,75;3,44;25,31;82,54;70,93;14,02;"Até 5 mil"
1703305;"TO";"Bom Jesus do Tocantins";NA;20,95;49,62;53,62;50,38;25,43;"Até 5 mil"
4302378;"RS";"Bom Progresso";0,39;20,33;45,79;68,29;53,82;11,38;"Até 5 mil"
3507159;"SP";"Bom Sucesso de Itararé";51,75;62,76;11,9;32,69;36,35;4,54;"Até 5 mil"
4103222;"PR";"Bom Sucesso do Sul";10,75;34,31;50,66;39,38;38,6;26,32;"Até 5 mil"
5203575;"GO";"Bonópolis";0,75;36,99;55,44;27,4;43,82;35,62;"Até 5 mil"
3507209;"SP";"Borá";77,97;78,24;1,32;9,62;20,7;12,13;"Até 5 mil"
3507308;"SP";"Boracéia";86,56;89,09;12,31;5,25;1,13;5,65;"Até 5 mil"
3507456;"SP";"Borebi";79,42;86,45;2,72;5,14;17,86;8,42;"Até 5 mil"
4202701;"SC";"Botuverá";12,56;31,08;51,05;66,12;36,39;2,79;"Até 5 mil"
4302584;"RS";"Bozano";NA;21,94;NA;65,67;NA;12,39;"Até 5 mil"
4202859;"SC";"Braço do Trombudo";42,22;51,39;47,37;46,11;10,41;2,5;"Até 5 mil"
4302600;"RS";"Braga";0,41;6,19;58,56;64,82;41,03;28,98;"Até 5 mil"
3108701;"MG";"Brás Pires";25,75;39,89;22,05;30,16;52,2;29,95;"Até 5 mil"
4103370;"PR";"Brasilândia do Sul";1,19;1,12;77,66;86,5;21,15;12,37;"Até 5 mil"
1703602;"TO";"Brasilândia do Tocantins";1,39;4,1;59,84;82,3;38,77;13,61;"Até 5 mil"
5203609;"GO";"Brazabrantes";10,51;3,33;68,85;81,52;20,64;15,16;"Até 5 mil"
3507753;"SP";"Brejo Alegre";77,16;82,37;6,04;13,19;16,8;4,44;"Até 5 mil"
2201988;"PI";"Brejo do Piauí";12,46;NA;18,9;43,14;68,64;56,86;"Até 5 mil"
4302659;"RS";"Brochier";0,66;26,41;63,19;70,9;36,15;2,69;"Até 5 mil"
4202875;"SC";"Brunópolis";8,66;18,77;39,71;51,62;51,63;29,61;"Até 5 mil"
3109253;"MG";"Bugre";0,19;4,52;46,61;63,55;53,2;31,94;"Até 5 mil"
5203939;"GO";"Buriti de Goiás";14,7;1,92;64,88;82,85;20,41;15,23;"Até 5 mil"
5203962;"GO";"Buritinópolis";0,13;10,08;72,56;59,56;27,31;30,35;"Até 5 mil"
3508207;"SP";"Buritizal";79,53;80,84;2,17;11,43;18,3;7,72;"Até 5 mil"
3508306;"SP";"Cabrália Paulista";84,41;85,72;15,35;4,2;0,24;10,07;"Até 5 mil"
