"Codigo";"UF";"Municipio";"Analf_2000";"Analf_2010";"Inadequado_2000";"Inadequado_2010";"AnalfEInadequado_2000";"AnalfEInadequado_2010";"Classe"
3106655;"MG";"Berizal";49,36;31,54;20,55;20,54;9,32;8,31;"Até 5 mil"
2502052;"PB";"Bernardino Batista";68,8;42,82;91,47;57,99;67,2;30,35;"Até 5 mil"
1703206;"TO";"Bernardo Sayão";27,94;23,58;50;30,11;13,53;6,74;"Até 5 mil"
3106606;"MG";"Bertópolis";47,98;46,51;42,71;46,31;25,71;29,54;"Até 5 mil"
3106804;"MG";"Bias Fortes";34,17;19,17;43,05;25,94;16,63;3,76;"Até 5 mil"
3107000;"MG";"Biquinhas";14,57;5;37,4;37,86;5,12;0,71;"Até 5 mil"
4103008;"PR";"Boa Esperança";20,04;8,47;23,03;20,2;2,77;1,3;"Até 5 mil"
4103024;"PR";"Boa Esperança do Iguaçu";17,98;8,08;62,08;29,8;12,64;4,04;"Até 5 mil"
4302154;"RS";"Boa Vista das Missões";14,8;4,83;40,79;7,59;8,3;0;"Até 5 mil"
4302220;"RS";"Boa Vista do Cadeado";NA;2,19;NA;23,36;NA;0,73;"Até 5 mil"
4302238;"RS";"Boa Vista do Incra";NA;1,09;NA;20,22;NA;0;"Até 5 mil"
4302253;"RS";"Boa Vista do Sul";5,52;4,13;6,13;2,48;1,23;0;"Até 5 mil"
2201804;"PI";"Bocaina";45,06;29,81;37,35;5,13;21,93;1,92;"Até 5 mil"
4202438;"SC";"Bocaina do Sul";23,42;18,87;45,65;33,96;12,31;6,79;"Até 5 mil"
2401651;"RN";"Bodó";60,27;28,05;58,36;17,48;38,63;6,1;"Até 5 mil"
4202503;"SC";"Bom Jardim da Serra";14,73;12,15;35,89;24,86;3,32;1,13;"Até 5 mil"
2502201;"PB";"Bom Jesus";55,64;25,55;35,02;26,87;21,01;7,93;"Até 5 mil"
4202537;"SC";"Bom Jesus";19,34;11,36;41,56;22,27;12,35;6,82;"Até 5 mil"
3107604;"MG";"Bom Jesus da Penha";12,3;5,79;32,2;8,49;5,24;0,39;"Até 5 mil"
4202578;"SC";"Bom Jesus do Oeste";14,01;7,43;66,67;18,24;10,63;0;"Até 5 mil"
4103156;"PR";"Bom Jesus do Sul";26,59;9,68;75,6;13,26;24,01;3,23;"Até 5 mil"
1703305;"TO";"Bom Jesus do Tocantins";40,79;15,2;57,79;17,77;25,78;5,57;"Até 5 mil"
4302378;"RS";"Bom Progresso";14,33;9,52;53,43;8,84;8,36;2,72;"Até 5 mil"
3507159;"SP";"Bom Sucesso de Itararé";20,41;15,05;30,9;1,61;4,49;0,81;"Até 5 mil"
4103222;"PR";"Bom Sucesso do Sul";14,24;0,43;30,96;19,57;5,88;0;"Até 5 mil"
5203575;"GO";"Bonópolis";27,73;14,73;43,3;44,18;11,53;6,51;"Até 5 mil"
3507209;"SP";"Borá";13,89;9,84;27,78;13,11;9,72;1,64;"Até 5 mil"
3507308;"SP";"Boracéia";17,48;8,84;2,31;7,46;1,8;0,28;"Até 5 mil"
3507456;"SP";"Borebi";16,47;6,28;25,88;8,7;5,88;0,48;"Até 5 mil"
4202701;"SC";"Botuverá";5,1;5,17;32,17;1,72;2,55;0,34;"Até 5 mil"
4302584;"RS";"Bozano";NA;5,88;NA;10,29;NA;0;"Até 5 mil"
4202859;"SC";"Braço do Trombudo";12,01;1,77;13,78;1,06;1,77;0;"Até 5 mil"
4302600;"RS";"Braga";21,19;18,12;36,44;26,85;7,2;6,71;"Até 5 mil"
3108701;"MG";"Brás Pires";18,85;15,32;54,22;27,33;12,21;6,01;"Até 5 mil"
4103370;"PR";"Brasilândia do Sul";27,41;15,52;20,56;11,64;3,3;2,59;"Até 5 mil"
1703602;"TO";"Brasilândia do Tocantins";21,63;13,16;42,91;12,28;9,22;0,88;"Até 5 mil"
5203609;"GO";"Brazabrantes";13,06;9,05;22,76;15,52;4,48;0,86;"Até 5 mil"
3507753;"SP";"Brejo Alegre";15,13;4,44;10,5;0,56;3,36;0,56;"Até 5 mil"
2201988;"PI";"Brejo do Piauí";64,3;41,71;71,23;57,51;49,74;29,53;"Até 5 mil"
4302659;"RS";"Brochier";7,64;1,16;33,44;2,33;4,46;0;"Até 5 mil"
4202875;"SC";"Brunópolis";23,28;8,17;56,77;32,21;13,3;1,92;"Até 5 mil"
3109253;"MG";"Bugre";30,82;12,64;52,74;25,57;19,86;3,45;"Até 5 mil"
5203939;"GO";"Buriti de Goiás";12,9;10,3;18,55;10,3;1,21;0;"Até 5 mil"
5203962;"GO";"Buritinópolis";39,14;14,51;21,96;23,66;10,5;6,94;"Até 5 mil"
3508207;"SP";"Buritizal";12,68;5,19;19,15;10,39;4,23;2,27;"Até 5 mil"
3508306;"SP";"Cabrália Paulista";13,55;6,61;0,57;12,4;0,19;0,28;"Até 5 mil"
3109600;"MG";"Cachoeira da Prata";9,94;3,96;0,58;0;0;0;"Até 5 mil"
5204201;"GO";"Cachoeira de Goiás";23,98;6,6;15,2;15,09;3,51;0,94;"Até 5 mil"
3109808;"MG";"Cachoeira Dourada";24,41;9,95;0,47;3,62;0;0;"Até 5 mil"
1703826;"TO";"Cachoeirinha";39,88;22,66;17,48;11,15;12,27;2,16;"Até 5 mil"
2503407;"PB";"Cacimba de Areia";59,17;33,33;61,5;35,85;43,67;13,52;"Até 5 mil"
4303202;"RS";"Cacique Doble";24,33;18,49;46,8;15,1;11,34;3,91;"Até 5 mil"
4103404;"PR";"Cafeara";26,11;11,28;19,47;7,69;4,42;1,03;"Até 5 mil"
4103479;"PR";"Cafezal do Sul";20,39;10;24,34;14;3,95;1;"Até 5 mil"
3508900;"SP";"Caiabu";12,93;7,67;10,98;4,88;1,95;0;"Até 5 mil"
3110103;"MG";"Caiana";27,36;15,24;60,24;16,63;20,87;2,08;"Até 5 mil"
4303301;"RS";"Caibaté";8,47;3,49;14,12;0,95;1,93;0;"Até 5 mil"
2401909;"RN";"Caiçara do Rio do Vento";54,35;32,09;31,52;10,14;20,38;4,05;"Até 5 mil"
2202075;"PI";"Cajazeiras do Piauí";60,06;38,3;63,96;29,82;44,14;13,74;"Até 5 mil"
2503753;"PB";"Cajazeirinhas";75,94;52,52;72,17;50,94;58,84;29,87;"Até 5 mil"
3110202;"MG";"Cajuri";24,05;14,34;58,8;19,93;13,59;3,5;"Até 5 mil"
5204557;"GO";"Caldazinha";11,07;8,61;41,69;15,57;4,23;1,23;"Até 5 mil"
4203154;"SC";"Calmon";24,2;15,68;49,24;22,11;16,24;5,91;"Até 5 mil"
3110400;"MG";"Camacho";23,86;5,8;47,16;20,29;11,65;2,42;"Até 5 mil"
4303558;"RS";"Camargo";15,38;5,52;22,56;0,61;4,1;0,61;"Até 5 mil"
3110806;"MG";"Campanário";39,6;26,16;32,66;22,94;17,67;6,81;"Até 5 mil"
4303673;"RS";"Campestre da Serra";9,18;4,48;51,27;10,76;6,01;0,9;"Até 5 mil"
5204607;"GO";"Campestre de Goiás";20,18;17,76;28,61;37,07;5,42;10,04;"Até 5 mil"
4103958;"PR";"Campina do Simão";21,43;12,95;64,44;50,52;15,08;7,25;"Até 5 mil"
5204656;"GO";"Campinaçu";23,72;9,47;53,72;31,93;13,26;3,16;"Até 5 mil"
2202117;"PI";"Campo Alegre do Fidalgo";63,33;44,53;87,24;71,26;60,42;39,68;"Até 5 mil"
3111150;"MG";"Campo Azul";38,24;22,63;47,25;35,17;19,56;10,7;"Até 5 mil"
4104055;"PR";"Campo Bonito";32,6;14,25;31,29;22,63;8,77;2,23;"Até 5 mil"
4304101;"RS";"Campos Borges";10,3;6,64;36,04;16,37;6,78;0,88;"Até 5 mil"
3509809;"SP";"Campos Novos Paulista";15,84;9,49;2,39;17,44;0,65;1,03;"Até 5 mil"
3111705;"MG";"Canaã";32,14;15,87;62,05;51,43;20,76;8,89;"Até 5 mil"
5102694;"MT";"Canabrava do Norte";20,87;9,38;77,68;31,14;18,41;5,44;"Até 5 mil"
3509957;"SP";"Canas";14,25;7,22;13,57;2,19;4,52;1,75;"Até 5 mil"
2202251;"PI";"Canavieira";45,94;35,04;40,4;35,52;22,97;17,27;"Até 5 mil"
3510104;"SP";"Cândido Rodrigues";9,34;5,88;25,27;12,42;0,55;0,65;"Até 5 mil"
2801108;"SE";"Canhoba";58,64;50,83;24,75;17,34;17,29;12,59;"Até 5 mil"
3510153;"SP";"Canitar";21,72;10,96;0;0,88;0;0,66;"Até 5 mil"
3112059;"MG";"Cantagalo";35,99;19,16;62,5;25,93;24,57;7,71;"Até 5 mil"
4304614;"RS";"Canudos do Vale";NA;5,81;NA;9,3;NA;0;"Até 5 mil"
4203253;"SC";"Capão Alto";19,25;13,15;50,29;27,7;14,08;4,23;"Até 5 mil"
4304622;"RS";"Capão Bonito do Sul";NA;6,48;NA;51,85;NA;3,7;"Até 5 mil"
4304655;"RS";"Capão do Cipó";NA;5,28;NA;25,61;NA;1,63;"Até 5 mil"
3112208;"MG";"Capela Nova";20,94;13,78;59,83;50,15;18,8;9,97;"Até 5 mil"
4304697;"RS";"Capitão";6,73;4,59;23,32;6,63;3,59;1,53;"Até 5 mil"
3112653;"MG";"Capitão Andrade";37,44;16,53;29;21,31;14,84;5,18;"Até 5 mil"
2202455;"PI";"Capitão Gervásio Oliveira";56,7;42,34;93,06;61;54,31;33,73;"Até 5 mil"
4304671;"RS";"Capivari do Sul";8,36;5,56;1,86;0,65;0,31;0;"Até 5 mil"
3113107;"MG";"Caranaíba";22,93;10,64;54,42;31,91;15,75;4,26;"Até 5 mil"
2504074;"PB";"Caraúbas";43,4;26,59;69,54;32,37;37,56;12,43;"Até 5 mil"
2202554;"PI";"Caridade do Piauí";62,61;42,67;86,77;48,57;55,91;26,1;"Até 5 mil"
1703867;"TO";"Cariri do Tocantins";19,33;18,82;39,78;35,29;12,04;11,47;"Até 5 mil"
4304853;"RS";"Carlos Gomes";2,38;3,9;56,55;19,48;0;1,3;"Até 5 mil"
3113800;"MG";"Carmésia";34,67;14,91;44,16;25,44;18,98;7,46;"Até 5 mil"
1703883;"TO";"Carmolândia";43,08;18,66;28,08;12,69;14,23;6,72;"Até 5 mil"
3114600;"MG";"Carrancas";20,15;6,6;35,44;11,55;10,19;0,99;"Até 5 mil"
2504108;"PB";"Carrapateira";61,37;34,8;13,08;20,7;10,59;11,89;"Até 5 mil"
1703891;"TO";"Carrasco Bonito";63,07;38,46;15,01;12,82;10,29;6,9;"Até 5 mil"
3114709;"MG";"Carvalhópolis";9,14;4,55;19,76;5,79;1,18;0,41;"Até 5 mil"
3114808;"MG";"Carvalhos";23,95;10,51;34,42;31,91;9,07;3,11;"Até 5 mil"
3114907;"MG";"Casa Grande";15,72;7,79;29,69;18,18;1,75;1,3;"Até 5 mil"
3115003;"MG";"Cascalho Rico";8,14;5,73;29,07;33,48;2,33;2,64;"Até 5 mil"
1703909;"TO";"Caseara";35,44;22,31;43,76;37,24;15,37;9,64;"Até 5 mil"
4304952;"RS";"Caseiros";13,03;10,28;39,08;7,01;6,69;1,87;"Até 5 mil"
3510906;"SP";"Cássia dos Coqueiros";13,59;9,34;13,94;15,38;2,09;0;"Até 5 mil"
1100908;"RO";"Castanheiras";19,15;13,19;78,55;63,89;16,13;9,72;"Até 5 mil"
5205059;"GO";"Castelândia";26,51;23,91;5,35;0;1,63;0;"Até 5 mil"
3115359;"MG";"Catas Altas";22,33;4,38;13,13;6,33;6,38;0,49;"Até 5 mil"
3115409;"MG";"Catas Altas da Noruega";31,79;19,56;66,03;51,66;22,28;14,76;"Até 5 mil"
2504207;"PB";"Catingueira";66,67;50,43;60,83;30,6;44,07;20,04;"Até 5 mil"
2907400;"BA";"Catolândia";61,36;39,92;39,2;25;26,14;12,5;"Até 5 mil"
5205208;"GO";"Caturaí";25,58;11,16;26,51;1,16;6,74;0,23;"Até 5 mil"
2504355;"PB";"Caturité";41,63;26,84;66,94;37,45;32,86;13,2;"Até 5 mil"
4204103;"SC";"Caxambu do Sul";26,11;12,75;23,98;34,23;6,38;1,34;"Até 5 mil"
3115607;"MG";"Cedro do Abaeté";24,26;6,76;14,71;8,11;3,68;1,35;"Até 5 mil"
4204152;"SC";"Celso Ramos";15,28;9,84;64,12;15,03;9,63;3,11;"Até 5 mil"
1704105;"TO";"Centenário";32,8;30,12;60,83;42,47;24,52;22,01;"Até 5 mil"
4305116;"RS";"Centenário";4,76;2,52;86,51;8,18;4,76;1,26;"Até 5 mil"
4305132;"RS";"Cerro Branco";17,1;10,78;45,51;8,92;11,3;2,23;"Até 5 mil"
4305157;"RS";"Cerro Grande";20;7,02;70,2;5,85;17,65;1,75;"Até 5 mil"
4204178;"SC";"Cerro Negro";31,49;17,82;71,98;43,27;24,13;8,73;"Até 5 mil"
3115904;"MG";"Chácara";22,31;14,46;21,92;11,45;6,92;1,2;"Até 5 mil"
1705102;"TO";"Chapada da Natividade";41,55;20,46;65,02;36,89;32,86;12,1;"Até 5 mil"
1704600;"TO";"Chapada de Areia";31,21;20,34;54,78;34,75;17,83;9,32;"Até 5 mil"
4204194;"SC";"Chapadão do Lageado";9,97;9,41;89,73;29,02;9,97;3,92;"Até 5 mil"
4305371;"RS";"Charrua";34,59;37,5;41,54;34,87;13,16;20,07;"Até 5 mil"
3116209;"MG";"Chiador";27,89;16,74;35,03;18,88;13,61;9,87;"Até 5 mil"
4305405;"RS";"Chiapetta";8,07;5,98;43,27;5,65;3,36;1;"Até 5 mil"
4305447;"RS";"Chuvisca";15,87;8,05;83,04;71,14;14,57;6,71;"Até 5 mil"
4305504;"RS";"Ciríaco";12,64;5,17;26,36;14,14;3,92;0;"Até 5 mil"
3116407;"MG";"Claraval";12,1;5,81;47,95;23,48;5,02;1,52;"Até 5 mil"
2202711;"PI";"Cocal de Telha";60,3;44,79;57,09;26,63;35,92;16,22;"Até 5 mil"
2202737;"PI";"Coivaras";61,29;42,56;63,82;44,62;44,47;23,33;"Até 5 mil"
4305587;"RS";"Colinas";2,8;2,65;26,57;0,88;2,8;0;"Até 5 mil"
