"Codigo";"UF";"Municipio";"ValMedio";"Q2";"Mediana";"Q3";"Classe"
4210050;"SC";"Macieira";457;200;340;540;"Até 5 mil"
3139102;"MG";"Madre de Deus de Minas";428;161;264;510;"Até 5 mil"
2508703;"PB";"Mãe d'Água";206;50;148;270;"Até 5 mil"
3528304;"SP";"Magda";668;290;510;755;"Até 5 mil"
5212600;"GO";"Mairipotaba";661;251;398;625;"Até 5 mil"
4210209;"SC";"Major Gercino";600;263;500;710;"Até 5 mil"
2407252;"RN";"Major Sales";249;99;170;323;"Até 5 mil"
2803807;"SE";"Malhada dos Bois";233;100;170;278;"Até 5 mil"
4311734;"RS";"Mampituba";383;153;255;510;"Até 5 mil"
4114351;"PR";"Manfrinópolis";397;154;300;510;"Até 5 mil"
2704906;"AL";"Mar Vermelho";244;88;170;328;"Até 5 mil"
3528700;"SP";"Marabá Paulista";436;200;340;531;"Até 5 mil"
3528858;"SP";"Marapoama";703;380;533;800;"Até 5 mil"
4311791;"RS";"Maratá";664;370;510;765;"Até 5 mil"
2206001;"PI";"Marcos Parente";295;118;226;378;"Até 5 mil"
4210555;"SC";"Marema";776;400;578;934;"Até 5 mil"
4311981;"RS";"Mariana Pimentel";526;222;383;555;"Até 5 mil"
4312005;"RS";"Mariano Moro";838;340;515;876;"Até 5 mil"
1712504;"TO";"Marianópolis do Tocantins";385;127;248;431;"Até 5 mil"
3528908;"SP";"Mariápolis";511;260;413;629;"Até 5 mil"
3140100;"MG";"Marilac";313;131;224;397;"Até 5 mil"
3529104;"SP";"Marinópolis";505;250;385;577;"Até 5 mil"
3140209;"MG";"Maripá de Minas";458;255;350;510;"Até 5 mil"
3140308;"MG";"Marliéria";395;170;302;510;"Até 5 mil"
3140407;"MG";"Marmelópolis";327;133;223;423;"Até 5 mil"
4312054;"RS";"Marques de Souza";738;390;575;875;"Até 5 mil"
4115457;"PR";"Marquinho";413;116;232;433;"Até 5 mil"
4115507;"PR";"Marumbi";531;255;400;553;"Até 5 mil"
5212907;"GO";"Marzagão";579;252;397;613;"Até 5 mil"
1712702;"TO";"Mateiros";550;97;177;340;"Até 5 mil"
3140605;"MG";"Materlândia";258;102;185;339;"Até 5 mil"
3171501;"MG";"Mathias Lobato";303;124;200;340;"Até 5 mil"
2509339;"PB";"Matinhas";193;67;145;255;"Até 5 mil"
4312138;"RS";"Mato Castelhano";723;255;503;750;"Até 5 mil"
2509370;"PB";"Mato Grosso";243;110;193;325;"Até 5 mil"
4312153;"RS";"Mato Leitão";643;370;510;767;"Até 5 mil"
4312179;"RS";"Mato Queimado";573;225;484;684;"Até 5 mil"
4115739;"PR";"Mato Rico";298;123;208;390;"Até 5 mil"
4210704;"SC";"Matos Costa";380;156;267;500;"Até 5 mil"
5212956;"GO";"Matrinchã";438;217;333;510;"Até 5 mil"
3141207;"MG";"Matutina";597;255;400;580;"Até 5 mil"
1712801;"TO";"Maurilândia do Tocantins";225;83;162;289;"Até 5 mil"
4312203;"RS";"Maximiliano de Almeida";509;203;390;605;"Até 5 mil"
3141306;"MG";"Medeiros";686;261;441;667;"Até 5 mil"
3529500;"SP";"Mendonça";650;345;510;775;"Até 5 mil"
3529609;"SP";"Meridiano";648;323;500;700;"Até 5 mil"
3529658;"SP";"Mesópolis";502;259;421;610;"Até 5 mil"
2407609;"RN";"Messias Targino";307;128;214;360;"Até 5 mil"
2206308;"PI";"Miguel Leão";280;88;192;368;"Até 5 mil"
5213053;"GO";"Mimoso de Goiás";414;156;255;445;"Até 5 mil"
3141900;"MG";"Minduri";412;163;255;457;"Até 5 mil"
3530003;"SP";"Mira Estrela";591;255;408;609;"Até 5 mil"
4115903;"PR";"Mirador";458;229;353;530;"Até 5 mil"
4312302;"RS";"Miraguaí";581;170;350;567;"Até 5 mil"
