"Codigo";"UF";"Municipio";"PopTotal";"Urbana";"Rural";"Homem";"Mulher";"H.M";"Classe";"Pop15";"Taxa";"Pop15.24";"Taxa15.24";"Pop25.39";"Taxa25.39";"Pop40.59";"Taxa40.59";"Pop60.";"Taxa60.";"TotalDomPartPerm";"Adequado";"Semi.Adequado";"Inadequado";"ValMedio";"Q2";"Mediana";"Q3";"MediaHomens";"MediaMulheres";"MedianaHomens";"MedianaMulheres";"mediaH.M";"medianaH.M";"Branca";"Preta";"Parda";"Amarela";"Indigena";"TotalIndq";"Ate70R.Indq";"Ate1.4Indq";"Ate1.2Indq";"Ate60.Indq";"Total10";"Taxa10";"Microrregiao";"Mesorregiao";"RGI";"RGInt"
3302908;"RJ";"Miguel Pereira";24642;87,25;12,75;47,56;52,44;90,6941266209001;"De 20 a 50 mil";28072;4,64;1768;1,3;3820;1,99;9263;4,79;13221;15,72;8324;39,76;58,6;1,63;718;250;407;746;1342;1031;700;510;1,3;1,37;1562;806;843;1211;931;410;7,8;29,02;60;53,41;6;1,47;"Vassouras";"Metropolitana do Rio de Janeiro";"Valença";"Volta Redonda - Barra Mansa"
3303005;"RJ";"Miracema";26843;92,17;7,83;48,53;51,47;94,2879347192539;"De 20 a 50 mil";2098;5,46;63;0,77;280;2,42;704;5,42;1051;18,48;8186;81,31;16,17;2,52;530;177;337;545;1026;790;510;510;1,3;1;1231;560;716;598;616;732;7,51;29,1;71,04;57,38;20;4,16;"Santo Antônio de Pádua";"Noroeste Fluminense";"Santo Antônio de Pádua";"Campos dos Goytacazes"
3303104;"RJ";"Natividade";15082;79,87;20,13;49,36;50,64;97,4723538704581;"De 10 a 20 mil";1931;6,06;70;1,08;260;2,83;644;6,06;957;17,2;4963;71,07;20,19;8,74;588;204;370;600;1052;857;510;510;1,23;1;1265;604;725;732;1037;1317;1,82;14,73;49,73;40,24;11;5,05;"Itaperuna";"Noroeste Fluminense";"Itaperuna";"Campos dos Goytacazes"
3303203;"RJ";"Nilópolis";157425;100;NA;46,8;53,2;87,9699248120301;"De 100 a 500 mil";2315;8,28;115;1,87;323;3,43;884;9,91;993;28,56;50514;89,9;10,08;0,02;652;267;496;770;1319;952;973;600;1,39;1,62;1281;975;1063;1042;1970;33;21,21;54,55;78,79;63,64;71;2,75;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3303302;"RJ";"Niterói";487562;100;NA;46,32;53,68;86,2891207153502;"De 100 a 500 mil";2480;12,3;70;1,55;372;6,41;942;14,55;1096;32,62;169237;89,79;10,09;0,12;1700;400;900;2153;3166;2176;1500;1020;1,46;1,47;3292;1181;1553;2429;2333;558;10,57;39,61;66,67;59,5;167;2,56;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3303401;"RJ";"Nova Friburgo";182082;87,53;12,47;47,92;52,08;92,0122887864823;"De 100 a 500 mil";9352;3,97;350;0,75;1105;1,63;3092;3,97;4805;11,26;63530;68,84;30,42;0,74;762;314;510;800;1343;996;800;600;1,35;1,33;1297;747;868;1097;1212;1386;6,93;22,29;53,39;43,43;43;1,5;"Nova Friburgo";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3303500;"RJ";"Nova Iguaçu";796257;98,91;1,09;47,94;52,06;92,0860545524395;"Acima de 500 mil";939;5,3;58;1,5;134;2,47;303;5,08;444;17,95;248186;64,69;33,62;1,69;493;200;340;565;1072;791;750;510;1,36;1,47;1127;819;843;916;932;12697;8,08;28,53;62,94;53,75;775;5,03;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3303609;"RJ";"Paracambi";47124;88,54;11,46;50,49;49,51;101,979398101394;"De 20 a 50 mil";1489;7,19;35;0,83;156;2,46;515;7,49;783;23,88;15249;61,83;35,06;3,11;517;233;383;612;1020;747;700;510;1,37;1,37;1028;762;797;852;800;1157;3,03;12,71;42,52;30,86;13;1,87;"Vassouras";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3303708;"RJ";"Paraíba do Sul";41084;88;12;48,07;51,93;92,5669170036588;"De 20 a 50 mil";1571;11,51;50;1,7;214;5,47;594;13,46;713;30,03;12827;78,3;17,27;4,44;545;210;360;583;1035;822;600;510;1,26;1,18;1166;644;742;770;680;2041;5,78;25,53;57,81;47,87;16;2,31;"Três Rios";"Centro Fluminense";"Três Rios - Paraíba do Sul";"Petrópolis"
3303807;"RJ";"Paraty";37533;73,77;26,23;50,53;49,47;102,142712755205;"De 20 a 50 mil";792;6,33;27;0,91;94;2,26;268;6,88;403;27,21;11460;43,76;52,45;3,79;655;244;405;706;1325;971;800;600;1,36;1,33;1396;912;957;1130;674;1370;19,05;33,8;63,94;56,57;34;4,26;"Baía da Ilha Grande";"Sul Fluminense";"Angra dos Reis";"Rio de Janeiro"
